"Brand","Model","fueltype","doornumber","carbody","drivewheel","wheelbase","carlength","carwidth","curbweight","cylindernumber","enginesize","boreratio","horsepower","price"
"subaru","dl","gas",4,"wagon","4wd",96.9,173.6,65.4,2420,4,108,3.62,82,8013
"subaru","dl","gas",4,"wagon","4wd",96.9,173.6,65.4,2650,4,108,3.62,111,11694
"toyota","corona","gas",2,"hatchback","fwd",95.7,158.7,63.6,1985,4,92,3.05,62,5348
"toyota","corona","gas",2,"hatchback","fwd",95.7,158.7,63.6,2040,4,92,3.05,62,6338
"toyota","corolla","gas",4,"hatchback","fwd",95.7,158.7,63.6,2015,4,92,3.05,62,6488
"toyota","corona","gas",4,"wagon","fwd",95.7,169.7,63.6,2280,4,92,3.05,62,6918
"toyota","corolla","gas",4,"wagon","4wd",95.7,169.7,63.6,2290,4,92,3.05,62,7898
"toyota","carina","gas",4,"wagon","4wd",95.7,169.7,63.6,3110,4,92,3.05,62,8778
"toyota","mark","gas",4,"sedan","fwd",95.7,166.3,64.4,2081,4,98,3.19,70,6938
"toyota","corolla","gas",4,"hatchback","fwd",95.7,166.3,64.4,2109,4,98,3.19,70,7198
"toyota","corona","diesel",4,"sedan","fwd",95.7,166.3,64.4,2275,4,110,3.27,56,7898
"toyota","corolla","diesel",4,"hatchback","fwd",95.7,166.3,64.4,2275,4,110,3.27,56,7788
"toyota","corona","gas",4,"sedan","fwd",95.7,166.3,64.4,2094,4,98,3.19,70,7738
"toyota","corolla","gas",4,"hatchback","fwd",95.7,166.3,64.4,2122,4,98,3.19,70,8358
"toyota","mark","gas",4,"sedan","fwd",95.7,166.3,64.4,2140,4,98,3.19,70,9258
"toyota","corolla","gas",2,"sedan","rwd",94.5,168.7,64,2169,4,98,3.19,70,8058
"toyota","corona","gas",2,"hatchback","rwd",94.5,168.7,64,2204,4,98,3.19,70,8238
"toyota","celica","gas",2,"sedan","rwd",94.5,168.7,64,2265,4,98,3.24,112,9298
"toyota","corolla","gas",2,"hatchback","rwd",94.5,168.7,64,2300,4,98,3.24,112,9538
"toyota","corona","gas",2,"hardtop","rwd",98.4,176.2,65.6,2540,4,146,3.62,116,8449
"toyota","corolla","gas",2,"hardtop","rwd",98.4,176.2,65.6,2536,4,146,3.62,116,9639
"toyota","starlet","gas",2,"hatchback","rwd",98.4,176.2,65.6,2551,4,146,3.62,116,9989
"toyota","tercel","gas",2,"hardtop","rwd",98.4,176.2,65.6,2679,4,146,3.62,116,11199
"toyota","corolla","gas",2,"hatchback","rwd",98.4,176.2,65.6,2714,4,146,3.62,116,11549
"toyota","cressida","gas",2,"convertible","rwd",98.4,176.2,65.6,2975,4,146,3.62,116,17669
"toyota","corolla","gas",4,"sedan","fwd",102.4,175.6,66.5,2326,4,122,3.31,92,8948
"toyota","celica","diesel",4,"sedan","fwd",102.4,175.6,66.5,2480,4,110,3.27,73,10698
"toyota","corona","gas",4,"hatchback","fwd",102.4,175.6,66.5,2414,4,122,3.31,92,9988
"toyota","corolla","gas",4,"sedan","fwd",102.4,175.6,66.5,2414,4,122,3.31,92,10898
"toyota","mark","gas",4,"hatchback","fwd",102.4,175.6,66.5,2458,4,122,3.31,92,11248
"toyota","corolla","gas",2,"hatchback","rwd",102.9,183.5,67.7,2976,6,171,3.27,161,16558
"toyota","corona","gas",2,"hatchback","rwd",102.9,183.5,67.7,3016,6,171,3.27,161,15998
"toyota","starlet","gas",4,"sedan","rwd",104.5,187.8,66.5,3131,6,171,3.27,156,15690
"toyota","tercel","gas",4,"wagon","rwd",104.5,187.8,66.5,3151,6,161,3.27,156,15750
"volkswagen","rabbit","diesel",2,"sedan","fwd",97.3,171.7,65.5,2261,4,97,3.01,52,7775
"volkswagen","1131","gas",2,"sedan","fwd",97.3,171.7,65.5,2209,4,109,3.19,85,7975
"volkswagen","model","diesel",4,"sedan","fwd",97.3,171.7,65.5,2264,4,97,3.01,52,7995
"volkswagen","type","gas",4,"sedan","fwd",97.3,171.7,65.5,2212,4,109,3.19,85,8195
"volkswagen","411","gas",4,"sedan","fwd",97.3,171.7,65.5,2275,4,109,3.19,85,8495
"volkswagen","super","diesel",4,"sedan","fwd",97.3,171.7,65.5,2319,4,97,3.01,68,9495
"volkswagen","dasher","gas",4,"sedan","fwd",97.3,171.7,65.5,2300,4,109,3.19,100,9995
"volkswagen","dasher","gas",2,"convertible","fwd",94.5,159.3,64.2,2254,4,109,3.19,90,11595
"volkswagen","rabbit","gas",2,"hatchback","fwd",94.5,165.7,64,2221,4,109,3.19,90,9980
"volkswagen","rabbit","gas",4,"sedan","fwd",100.4,180.2,66.9,2661,5,136,3.19,110,13295
"volkswagen","rabbit","diesel",4,"sedan","fwd",100.4,180.2,66.9,2579,4,97,3.01,68,13845
"volkswagen","dasher","gas",4,"wagon","fwd",100.4,183.1,66.9,2563,4,109,3.19,88,12290
"volvo","145e","gas",4,"sedan","rwd",104.3,188.8,67.2,2912,4,141,3.78,114,12940
"volvo","144ea","gas",4,"wagon","rwd",104.3,188.8,67.2,3034,4,141,3.78,114,13415
"volvo","244dl","gas",4,"sedan","rwd",104.3,188.8,67.2,2935,4,141,3.78,114,15985
"volvo","245","gas",4,"wagon","rwd",104.3,188.8,67.2,3042,4,141,3.78,114,16515
"volvo","264gl","gas",4,"sedan","rwd",104.3,188.8,67.2,3045,4,130,3.62,162,18420
"volvo","diesel","gas",4,"wagon","rwd",104.3,188.8,67.2,3157,4,130,3.62,162,18950
"volvo","145e","gas",4,"sedan","rwd",109.1,188.8,68.9,2952,4,141,3.78,114,16845
"volvo","144ea","gas",4,"sedan","rwd",109.1,188.8,68.8,3049,4,141,3.78,160,19045
"volvo","244dl","gas",4,"sedan","rwd",109.1,188.8,68.9,3012,6,173,3.58,134,21485
"volvo","246","diesel",4,"sedan","rwd",109.1,188.8,68.9,3217,6,145,3.01,106,22470
"volvo","264gl","gas",4,"sedan","rwd",109.1,188.8,68.9,3062,4,141,3.78,114,22625
